moment,network_hash,difficulty
'2009-01-10 12:00:00',0.00001305020447805537,1
'2009-01-11 12:00:00',0.0000019884107851851855,1
'2009-01-12 12:00:00',0.0000028666255486419753,1
'2009-01-13 12:00:00',0.000003318160497777778,1
'2009-01-14 12:00:00',0.000003877401031111112,1
'2009-01-15 12:00:00',0.000004299938322962964,1
'2009-01-16 12:00:00',0.000004580446273015874,1
'2009-01-17 12:00:00',0.000005212476844021164,1
'2009-01-18 12:00:00',0.0000055533472643386245,1
'2009-01-19 12:00:00',0.000005652767803597884,1
'2009-01-20 12:00:00',0.0000058018986124867745,1
'2009-01-21 12:00:00',0.000005737985408677249,1
'2009-01-22 12:00:00',0.000005546245797248677,1
'2009-01-23 12:00:00',0.000005297694449100529,1
'2009-01-24 12:00:00',0.000005127259238941799,1
'2009-01-25 12:00:00',0.0000057805942112169315,1
'2009-01-26 12:00:00',0.0000063771174467724876,1
'2009-01-27 12:00:00',0.000006242189572063492,1
'2009-01-28 12:00:00',0.000006121464631534392,1
'2009-01-29 12:00:00',0.000006192479302433861,1
'2009-01-30 12:00:00',0.000006405523315132275,1
'2009-01-31 12:00:00',0.000006639871729100528,1
'2009-02-01 12:00:00',0.000006192479302433862,1
'2009-02-02 12:00:00',0.00000563856486941799,1
'2009-02-03 12:00:00',0.000005865811816296296,1
'2009-02-04 12:00:00',0.000006164073434074074,1
'2009-02-05 12:00:00',0.0000062137837037037035,1
'2009-02-06 12:00:00',0.000006249291039153439,1
'2009-02-07 12:00:00',0.000006284798374603174,1
'2009-02-08 12:00:00',0.00000622088517079365,1
'2009-02-09 12:00:00',0.0000063558130455026454,1
'2009-02-10 12:00:00',0.000006398421848042328,1
'2009-02-11 12:00:00',0.000006263493973333333,1
'2009-02-12 12:00:00',0.0000063629145125925925,1
'2009-02-13 12:00:00',0.000006313204242962962,1
'2009-02-14 12:00:00',0.000006327407177142857,1
'2009-02-15 12:00:00',0.000006377117446772487,1
'2009-02-16 12:00:00',0.000006348711578412698,1
'2009-02-17 12:00:00',0.000006263493973333333,1
'2009-02-18 12:00:00',0.000006242189572063492,1
'2009-02-19 12:00:00',0.000006135667565714285,1
'2009-02-20 12:00:00',0.00000617117490116402,1
'2009-02-21 12:00:00',0.000006156971966984127,1
'2009-02-22 12:00:00',0.000006000739691005291,1
'2009-02-23 12:00:00',0.000005951029421375661,1
'2009-02-24 12:00:00',0.0000058516088821164025,1
'2009-02-25 12:00:00',0.000005773492744126986,1
'2009-02-26 12:00:00',0.000005681173671957672,1
'2009-02-27 12:00:00',0.0000055604487314285716,1
'2009-02-28 12:00:00',0.000005510738461798942,1
'2009-03-01 12:00:00',0.000005404216455449737,1
'2009-03-02 12:00:00',0.000005290592982010584,1
'2009-03-03 12:00:00',0.000005290592982010582,1
'2009-03-04 12:00:00',0.000005283491514920635,1
'2009-03-05 12:00:00',0.000005276390047830688,1
'2009-03-06 12:00:00',0.000005311897383280423,1
'2009-03-07 12:00:00',0.000005326100317460317,1
'2009-03-08 12:00:00',0.0000053971149883597875,1
'2009-03-09 12:00:00',0.000005468129659259259,1
'2009-03-10 12:00:00',0.000005468129659259259,1
'2009-03-11 12:00:00',0.0000054823325934391535,1
'2009-03-12 12:00:00',0.0000055533472643386245,1
'2009-03-13 12:00:00',0.000005595956066878306,1
'2009-03-14 12:00:00',0.000005567550198518518,1
'2009-03-15 12:00:00',0.000005574651665608466,1
'2009-03-16 12:00:00',0.0000056314634023280425,1
'2009-03-17 12:00:00',0.000005723782474497355,1
'2009-03-18 12:00:00',0.000005773492744126984,1
'2009-03-19 12:00:00',0.000005773492744126984,1
'2009-03-20 12:00:00',0.000005801898612486772,1
'2009-03-21 12:00:00',0.0000058374059479365075,1
'2009-03-22 12:00:00',0.0000054113179225396826,1
'2009-03-23 11:00:00',0.000005382912054179894,1
'2009-03-24 11:00:00',0.000005446825257989418,1
